[2019-08-18 11:39:42] - Loading tables...
[2019-08-18 11:39:42] - Converting table y4d2_commentmeta
[2019-08-18 11:39:42] - Converting table y4d2_comments
[2019-08-18 11:39:42] - Converting table y4d2_links
[2019-08-18 11:39:42] - Converting table y4d2_options
[2019-08-18 11:39:42] - Converting table y4d2_postmeta
[2019-08-18 11:39:42] - Converting table y4d2_posts
[2019-08-18 11:39:42] - Converting table y4d2_term_relationships
[2019-08-18 11:39:42] - Converting table y4d2_term_taxonomy
[2019-08-18 11:39:42] - Converting table y4d2_termmeta
[2019-08-18 11:39:42] - Converting table y4d2_terms
[2019-08-18 11:39:43] - Converting table y4d2_usermeta
[2019-08-18 11:39:43] - Converting table y4d2_users
